Timestep,Living Population,Active Infections,Economic Productivity,Population Change
1,80005,14,30577.31948653473,5
2,80008,16,32144.901141627917,3
3,80013,18,33635.5339500495,5
4,80016,19,35040.98671157182,3
5,80022,21,36364.07496452802,6
6,80026,21,37606.765782520706,4
7,80032,23,38774.18390402964,6
8,80037,25,39877.99981039596,5
9,80045,26,40915.23860538568,8
10,80052,28,41896.10606512598,7
11,80054,29,42817.22289211614,2
12,80059,30,43685.626110541685,5
13,80063,30,44502.743313207764,4
14,80069,29,45272.807480478325,6
15,80079,27,45994.42361779432,10
16,80088,24,46680.4214748417,9
17,80095,30,47315.273631290554,7
18,80101,28,47925.287726164395,6
19,80107,30,48496.16190257462,6
20,80114,32,49026.24635512969,7
21,80121,30,49529.06704234006,7
22,80128,32,50008.54646403317,7
23,80135,33,50459.25306484402,7
24,80143,33,50879.15753937077,8
25,80151,33,51268.87800758905,8
26,80160,33,51637.48558696855,9
27,80165,42,51981.55336888517,5
28,80171,42,52302.83135765714,6
29,80178,45,52608.162876151655,7
30,80186,42,52892.630517235164,8
31,80191,43,53161.74264504126,5
32,80195,43,53414.84721391924,4
33,80199,41,53656.98302693499,4
34,80208,39,53887.651997163855,9
35,80211,40,54100.12944788206,3
36,80216,42,54302.83525725529,5
37,80224,42,54490.79309333873,8
38,80230,45,54666.52057564431,6
39,80236,42,54836.245056829524,6
40,80241,42,54991.084177015444,5
41,80246,41,55139.33820703452,5
42,80253,37,55278.953853140854,7
43,80257,36,55408.20115260235,4
44,80267,36,55529.5938150341,10
45,80276,33,55649.074865355644,9
46,80285,32,55759.24539452723,9
47,80291,32,55864.97276628533,6
48,80297,33,55964.15992749389,6
49,80306,35,56059.1344230704,9
50,80316,36,56145.04531461648,10
51,80320,35,56227.49034728892,4
52,80330,35,56305.53414085981,10
53,80342,35,56379.96039037576,12
54,80352,36,56449.44383134843,10
55,80361,36,56515.55494486189,9
56,80373,37,56577.163059469385,12
57,80379,33,56633.99362393225,6
58,80386,38,56686.040740142154,7
59,80393,43,56732.52277092115,7
60,80404,45,56779.25609842701,11
61,80415,43,56824.75729918945,11
62,80421,43,56867.09455907515,6
63,80430,41,56908.41319762497,9
64,80443,40,56945.89010014171,13
