Timestep,Living Population,Active Infections,Economic Productivity,Population Change
1,80011,10,30682.192130970423,11
2,80017,10,32250.626084758795,6
3,80023,12,33729.70800374322,6
4,80033,13,35121.6789411175,10
5,80037,15,36435.729618021825,4
6,80045,16,37667.56514408517,8
7,80051,18,38824.56715199993,6
8,80060,20,39909.87203939733,9
9,80066,22,40934.455428765665,6
10,80076,24,41900.673344982686,10
11,80084,28,42808.20536820603,8
12,80086,28,43660.31167728284,2
13,80090,31,44461.57692450644,4
14,80095,30,45222.33256409896,5
15,80099,32,45932.25961152577,4
16,80107,33,46601.84286024748,8
17,80114,33,47235.583833915836,7
18,80119,34,47834.93551876938,5
19,80128,34,48399.69669829052,9
20,80133,34,48934.34665631455,5
21,80142,36,49434.6282588545,9
22,80153,36,49907.69042772177,11
23,80162,36,50353.20018213199,9
24,80176,36,50772.37772439103,14
25,80183,40,51166.64125775169,7
26,80191,44,51531.58665960408,8
27,80202,46,51878.68376042105,11
28,80211,49,52207.590543110935,9
29,80223,50,52517.30868574165,12
30,80225,51,52811.037194198114,2
31,80232,54,53087.705359609114,7
32,80235,59,53348.040996566975,3
33,80245,66,53595.054980390414,10
34,80248,66,53826.778988263744,3
35,80253,66,54045.97652222752,5
36,80255,68,54247.35683281944,2
37,80264,77,54437.59139549412,9
38,80273,76,54620.272968514546,9
39,80282,79,54794.90800017842,9
40,80287,85,54952.668701611925,5
41,80296,98,55092.11246507876,9
42,80307,103,55228.98827904298,11
43,80319,113,55350.81560242941,12
44,80321,121,55470.310293380106,2
45,80327,123,55584.22606472104,6
46,80334,124,55690.43663978372,7
47,80342,130,55783.39988113808,8
48,80350,136,55869.31245767603,8
49,80358,147,55955.85265740688,8
50,80368,157,56029.89808882474,10
51,80378,168,56100.03101370037,10
52,80384,177,56170.22529259726,6
53,80388,186,56229.72270637004,4
54,80402,190,56289.992125172685,14
55,80410,199,56340.3226194513,8
56,80418,204,56387.48658713724,8
57,80425,213,56430.47774860293,7
58,80430,223,56469.5989681477,5
59,80438,226,56510.38096251139,8
60,80448,233,56546.19980427415,10
61,80452,254,56576.31061197344,4
62,80459,265,56599.75232371498,7
63,80467,283,56614.357999607826,8
64,80478,292,56635.669825520854,11
65,80482,303,56652.15158875711,4
66,80490,321,56661.513588833,8
67,80490,342,56667.64967865899,0
68,80496,359,56675.089824910625,6
69,80507,368,56677.40834888919,11
70,80510,387,56682.11194221429,3
71,80516,408,56680.72864474253,6
72,80525,414,56684.460873070835,9
73,80533,425,56685.71388024994,8
74,80540,450,56683.115175289895,7
75,80549,465,56670.4215529679,9
76,80551,488,56661.53492538159,2
77,80558,499,56651.35797180713,7
78,80562,517,56644.91817454089,4
79,80574,528,56631.34079158048,12
80,80574,526,56618.18111847604,0
81,80577,539,56608.02091012427,3
82,80582,566,56590.164643795375,5
83,80591,602,56563.652665423426,9
84,80597,616,56540.50474654975,6
85,80603,618,56523.56107110645,6
86,80608,632,56504.3881211499,5
87,80613,650,56468.4601973365,5
88,80624,683,56436.66549469149,11
89,80628,708,56406.018072562816,4
90,80636,738,56370.30924132575,8
91,80640,751,56321.57859294478,4
92,80641,790,56282.48774882277,1
93,80639,823,56233.65306197739,-2
94,80644,851,56191.81821511078,5
95,80650,891,56144.911534604566,6
96,80650,920,56103.75608624888,0
97,80657,928,56067.953283456794,7
98,80660,972,56009.15699207714,3
99,80675,997,55960.32084837907,15
100,80682,1017,55910.177746795875,7
101,80687,1045,55864.61974614607,5
102,80692,1060,55808.92615599082,5
103,80693,1126,55735.309039698994,1
104,80690,1150,55672.292405574204,-3
105,80696,1182,55618.33386639108,6
106,80701,1199,55570.93535936619,5
107,80704,1244,55492.65416924836,3
108,80710,1284,55426.71211941215,6
109,80716,1331,55342.06835414212,6
110,80718,1379,55255.949332004995,2
111,80720,1425,55173.13122413122,2
112,80723,1482,55075.953826081604,3
113,80724,1522,54995.16953343601,1
114,80729,1576,54910.13808451197,5
115,80732,1613,54824.20860427594,3
116,80731,1633,54748.58820607316,-1
117,80736,1687,54646.91174668878,5
118,80738,1744,54541.406481622995,2
119,80745,1804,54446.361191350596,7
120,80750,1881,54331.10758774054,5
121,80752,1937,54207.87909725965,2
122,80762,1978,54099.70747836142,10
123,80765,2050,53987.079163622126,3
124,80767,2116,53865.40675639689,2
125,80761,2152,53752.504374595825,-6
126,80759,2203,53642.74596642133,-2
127,80751,2265,53512.45854755215,-8
128,80752,2322,53368.09176853055,1
129,80753,2432,53223.115402770934,1
130,80744,2480,53079.89881945214,-9
131,80753,2606,52933.481031803414,9
132,80751,2697,52770.677419917105,-2
133,80748,2753,52619.23887794511,-3
134,80742,2804,52488.7976149247,-6
135,80744,2880,52326.92467427116,2
136,80739,2916,52190.60465154218,-5
137,80732,3021,52019.626267483516,-7
138,80724,3109,51829.005556984914,-8
139,80725,3162,51670.127778379814,1
140,80720,3251,51494.962855307786,-5
141,80724,3329,51333.02640755604,4
142,80719,3377,51152.93839763612,-5
143,80715,3467,50969.2203069404,-4
144,80721,3579,50764.822700593155,6
145,80711,3656,50574.212173065825,-10
146,80694,3683,50382.64879035839,-17
147,80690,3729,50190.327249106755,-4
148,80680,3848,49982.628663044816,-10
149,80670,3940,49776.40626353403,-10
150,80662,4031,49577.018039091476,-8
151,80647,4111,49357.13274345164,-15
152,80649,4166,49157.776308193985,2
153,80651,4216,48960.12506134548,2
154,80643,4307,48730.516075524174,-8
155,80640,4368,48520.289162935864,-3
156,80638,4473,48300.94870734436,-2
157,80629,4547,48080.75886091731,-9
158,80622,4653,47850.918160487076,-7
159,80606,4746,47607.857077576715,-16
160,80604,4807,47364.78249606783,-2
161,80599,4892,47135.51047030504,-5
162,80590,4960,46911.76243544773,-9
163,80567,4975,46679.025121137616,-23
164,80566,5026,46441.69890356201,-1
165,80552,5130,46178.788174411624,-14
166,80527,5213,45944.24735997242,-25
